auction_item_url,auction_name,auction_time_loc,items_in_auction,artwork,estimate,lot,price,currency,image_link,bid,tag1,tag2,tag3,tag4,artist,year_born,title,signed,material,size,year_produced,condition,provenance1,provenance2,provenance3,provenance4,provenance5,provenance6,provenance7
https://www.sothebys.com/en/buy/auction/2020/contemporary-curated/daniel-arsham-super-mario-brothers-patch-pink,Contemporary Curated,21 April 2020 • 09:00 PM HKT • London,25,DANIEL ARSHAM | SUPER MARIO BROTHERS PATCH (PINK),"Estimate: 20,000 - 30,000 GBP",LOT SOLD:,"40,000",GBP,https://sothebys-md.brightspotcdn.com/09/5e/15c54784489d874858838a4cde27/030l20026-b6bfb.jpg,"(8 bids, reserve met)","Description
DANIEL ARSHAM
b. 1980
SUPER MARIO BROTHERS PATCH (PINK)

cast plaster with pigment
120 by 107 cm. 47¼ by 42 in.
Executed in 2018. 

Please note, Condition 11 of the Conditions of Business for Buyers (Online Only) is not applicable to this lot. 

To view shipping calculator, please click here","Condition Report
Please note the colours in the online catalogue illustration may vary depending on screen settings.

This work is in very good condition. All surface irregularities are in keeping with the artist's casting process.

The lot is sold in the condition it is in at the time of sale. The condition report is provided to assist you with assessing the condition of the lot and is for guidance only. Any reference to condition in the condition report for the lot does not amount to a full description of condition. The images of the lot form part of the condition report for the lot provided by Sotheby's. Certain images of the lot provided online may not accurately reflect the actual condition of the lot. In particular, the online images may represent colours and shades which are different to the lot's actual colour and shades. The condition report for the lot may make reference to particular imperfections of the lot but you should note that the lot may have other faults not expressly referred to in the condition report for the lot or shown in the online images of the lot. The condition report may not refer to all faults, restoration, alteration or adaptation because Sotheby's is not a professional conservator or restorer but rather the condition report is a statement of opinion genuinely held by Sotheby's. For that reason, Sotheby's condition report is not an alternative to taking your own professional advice regarding the condition of the lot.","Catalogue Note
""A central concept in Arsham’s work is 'fictional archaeology' whereby everyday objects of contemporary life and pop culture, from laptops and cereal boxes to teddy bears and Disney characters, are imagined by the artists “as if they’ve been uncovered on some future archaeological site""
Eric David: ''Connecting Time': Daniel Arsham's retrospective exhibition at Amsterdam's Moco Museum', yatzer, 7 February 2019, online.","Provenance
Galerie Perrotin, Paris
Acquired from the above by the present owner",DANIEL ARSHAM,b. 1980,SUPER MARIO BROTHERS PATCH (PINK),,cast plaster with pigment,120 by 107 cm. 47¼ by 42 in.,Executed in 2018. ,This work is in very good condition. All surface irregularities are in keeping with the artist's casting process.,"Galerie Perrotin, Paris",Acquired from the above by the present owner,,,,,
